iter	Passed	Remaining
772	10788	3168
773	10803	3154
774	10816	3140
775	10829	3125
776	10841	3111
777	10855	3097
778	10869	3083
779	10883	3069
780	10898	3055
781	10911	3041
782	10925	3027
783	10937	3013
784	10951	2999
785	10965	2985
786	10979	2971
787	10993	2957
788	11008	2943
789	11021	2929
790	11035	2915
791	11049	2902
792	11062	2887
793	11076	2873
794	11090	2859
795	11104	2845
796	11116	2831
797	11130	2817
798	11143	2803
799	11158	2789
800	11171	2775
801	11184	2761
802	11197	2747
803	11211	2733
804	11224	2719
805	11237	2704
806	11251	2690
807	11264	2676
808	11277	2662
809	11292	2648
810	11306	2635
811	11320	2620
812	11332	2606
813	11346	2592
814	11359	2578
815	11373	2564
816	11387	2550
817	11401	2536
818	11415	2522
819	11429	2508
820	11443	2494
821	11457	2481
822	11471	2467
823	11483	2452
824	11498	2439
825	11511	2424
826	11525	2411
827	11538	2396
828	11552	2382
829	11565	2368
830	11579	2354
831	11594	2341
832	11608	2327
833	11622	2313
834	11635	2299
835	11650	2285
836	11664	2271
837	11681	2258
838	11694	2244
839	11707	2230
840	11723	2216
841	11736	2202
842	11750	2188
843	11762	2174
844	11777	2160
845	11791	2146
846	11805	2132
847	11818	2118
848	11831	2104
849	11846	2090
850	11860	2076
851	11874	2062
852	11889	2048
853	11902	2034
854	11918	2021
855	11933	2007
856	11947	1993
857	11961	1979
858	11976	1965
859	11991	1952
860	12005	1938
861	12020	1924
862	12033	1910
863	12048	1896
864	12060	1882
865	12074	1868
866	12088	1854
867	12102	1840
868	12115	1826
869	12127	1812
870	12141	1798
871	12156	1784
872	12170	1770
873	12183	1756
874	12198	1742
875	12213	1728
876	12226	1714
877	12239	1700
878	12252	1686
879	12267	1672
880	12282	1659
881	12296	1645
882	12309	1631
883	12322	1617
884	12335	1602
885	12349	1588
886	12362	1574
887	12376	1561
888	12390	1547
889	12403	1533
890	12416	1519
891	12430	1505
892	12444	1491
893	12459	1477
894	12472	1463
895	12486	1449
896	12499	1435
897	12512	1421
898	12526	1407
899	12540	1393
900	12555	1379
901	12569	1365
902	12584	1351
903	12598	1337
904	12612	1323
905	12625	1309
906	12638	1295
907	12654	1282
908	12669	1268
909	12682	1254
910	12696	1240
911	12711	1226
912	12725	1212
913	12738	1198
914	12752	1184
915	12766	1170
916	12779	1156
917	12792	1142
918	12805	1128
919	12819	1114
920	12832	1100
921	12845	1086
922	12860	1072
923	12874	1058
924	12886	1044
925	12899	1030
926	12913	1016
927	12928	1003
928	12942	989
929	12956	975
930	12969	961
931	12983	947
932	12997	933
933	13012	919
934	13024	905
935	13038	891
936	13051	877
937	13064	863
938	13077	849
939	13092	835
940	13105	821
941	13118	807
942	13133	793
943	13146	779
944	13161	766
945	13175	752
946	13189	738
947	13204	724
948	13217	710
949	13230	696
950	13243	682
951	13258	668
952	13272	654
953	13286	640
954	13298	626
955	13312	612
956	13325	598
957	13339	584
958	13353	570
959	13366	556
960	13380	543
961	13393	529
962	13406	515
963	13419	501
964	13433	487
965	13446	473
966	13459	459
967	13472	445
968	13485	431
969	13499	417
970	13513	403
971	13526	389
972	13540	375
973	13553	361
974	13565	347
975	13579	333
976	13591	319
977	13604	306
978	13619	292
979	13633	278
980	13648	264
981	13661	250
982	13675	236
983	13689	222
984	13702	208
985	13716	194
986	13729	180
987	13743	166
988	13757	153
989	13770	139
990	13783	125
991	13797	111
992	13811	97
993	13824	83
994	13837	69
995	13851	55
996	13864	41
997	13877	27
998	13891	13
999	13904	0
