iter	RMSE
251	0.4254254603
252	0.4254126104
253	0.4253947543
254	0.4253823808
255	0.425369487
256	0.4253541033
257	0.4253440864
258	0.4253335097
259	0.4253221841
260	0.4253068059
261	0.425292322
262	0.4252794565
263	0.4252682564
264	0.4252508883
265	0.4252366115
266	0.4252191848
267	0.4252048749
268	0.425191344
269	0.4251814573
270	0.4251693213
271	0.4251585268
272	0.4251452783
273	0.42513639
274	0.4251275157
275	0.4251168716
276	0.4251010597
277	0.4250856542
278	0.425071318
279	0.4250586964
280	0.4250464198
281	0.4250389802
282	0.4250306657
283	0.4250178553
284	0.4250035983
285	0.4249925176
286	0.4249785473
287	0.424967758
288	0.4249497991
289	0.4249388674
290	0.4249269468
291	0.4249157509
292	0.4249042808
293	0.424894217
294	0.4248834209
295	0.4248661379
296	0.4248534688
297	0.4248440552
298	0.4248280128
299	0.4248175472
300	0.4248060734
301	0.4247951199
302	0.4247853351
303	0.4247738103
304	0.4247652349
305	0.4247566675
306	0.4247462235
307	0.4247302603
308	0.4247209616
309	0.4247104462
310	0.4246978981
311	0.4246868957
312	0.4246750628
313	0.4246637414
314	0.4246523972
315	0.424641356
316	0.4246265258
317	0.4246157973
318	0.4246079851
319	0.4245963457
320	0.4245885027
321	0.424581135
322	0.4245696853
323	0.424559839
324	0.4245516148
325	0.4245429136
326	0.4245241474
327	0.4245109756
328	0.4245005783
329	0.4244910156
330	0.4244821691
331	0.4244736247
332	0.4244595226
333	0.4244516632
334	0.4244424784
335	0.4244263808
336	0.4244168617
337	0.4244015444
338	0.4243930218
339	0.4243866685
340	0.4243803852
341	0.4243717666
342	0.424362874
343	0.4243530443
344	0.4243452287
345	0.4243359697
346	0.4243211754
347	0.4243112706
348	0.4243037
349	0.4242944638
350	0.4242870659
351	0.4242781806
352	0.4242693487
353	0.4242619433
354	0.424256549
355	0.4242455005
356	0.4242395309
357	0.4242295539
358	0.4242172557
359	0.4242084646
360	0.4241978066
361	0.4241888821
362	0.4241827389
363	0.4241712892
364	0.4241623298
365	0.4241482987
366	0.4241346741
367	0.4241279682
368	0.4241168103
369	0.4241069251
370	0.42409718
371	0.4240876366
372	0.4240799394
373	0.4240747264
374	0.4240661834
375	0.4240563314
376	0.4240491472
377	0.4240416517
378	0.4240305442
379	0.4240216896
380	0.4240136816
381	0.424007803
382	0.4239979469
383	0.4239879213
384	0.4239810415
385	0.4239729901
386	0.4239647384
387	0.423956175
388	0.4239512285
389	0.4239445077
390	0.4239360004
391	0.4239284291
392	0.4239160701
393	0.4239090427
394	0.4238985523
395	0.4238878736
396	0.4238765382
397	0.4238624331
398	0.4238492271
399	0.4238332365
400	0.4238211615
401	0.4238123494
402	0.4238043597
403	0.4237967709
404	0.4237884581
405	0.4237795637
406	0.4237688267
407	0.4237583125
408	0.4237509095
409	0.4237401814
410	0.4237343117
411	0.4237211547
412	0.423710273
413	0.4236994941
414	0.4236880346
415	0.4236808591
416	0.4236723221
417	0.4236615019
418	0.42365128
419	0.423638349
420	0.4236295378
421	0.4236160295
422	0.4236097632
423	0.4235985999
424	0.4235914001
425	0.4235837295
426	0.4235746021
427	0.423567535
428	0.4235590301
429	0.4235446252
430	0.4235345119
431	0.4235264965
432	0.4235195592
433	0.4235096478
434	0.4235012236
435	0.4234944553
436	0.4234882467
437	0.4234788436
438	0.4234714262
439	0.4234650858
440	0.4234556713
441	0.4234504143
442	0.4234456072
443	0.4234332632
444	0.4234265636
445	0.4234169438
446	0.4234080492
447	0.4234024263
448	0.4233962749
449	0.4233874534
450	0.423377214
451	0.4233685622
452	0.4233616676
453	0.4233517881
454	0.4233437435
455	0.4233365624
456	0.4233268912
457	0.4233185709
458	0.4233104207
459	0.423301093
460	0.4232933688
461	0.4232877569
462	0.4232806067
463	0.4232744716
464	0.423265912
465	0.4232571114
466	0.4232480639
467	0.4232378664
468	0.4232275572
469	0.4232178494
470	0.423212015
471	0.4232027984
472	0.4231972197
473	0.4231927018
474	0.4231845201
475	0.4231711348
476	0.4231581472
477	0.423150901
478	0.4231435449
479	0.4231348741
480	0.4231272508
481	0.4231217747
482	0.4231155472
483	0.423107922
484	0.4231014546
485	0.4230943197
486	0.4230895474
487	0.4230775977
488	0.4230714246
489	0.4230601629
490	0.4230534342
491	0.423047647
492	0.4230365296
493	0.4230300665
494	0.4230233013
495	0.423018295
496	0.423010963
497	0.4230005817
498	0.4229896575
499	0.4229790033
500	0.4229726092
501	0.4229641368
502	0.4229552289
503	0.4229485956
504	0.422940255
505	0.4229336105
506	0.4229238287
507	0.422917735
508	0.4229108753
509	0.4229001727
510	0.422893668
511	0.4228856496
512	0.4228807017
513	0.4228762091
514	0.4228687964
515	0.422862316
516	0.4228548947
517	0.4228461021
518	0.4228347581
519	0.4228223113
520	0.4228152104
521	0.4228052839
522	0.4227962098
523	0.4227839888
524	0.4227757277
525	0.4227677174
526	0.4227581845
527	0.4227508996
528	0.4227450292
529	0.4227394143
530	0.4227311841
531	0.422725486
532	0.4227153365
533	0.4227112639
534	0.4227005804
535	0.4226912004
536	0.4226856695
537	0.4226797988
538	0.4226692634
539	0.4226611403
540	0.4226509081
541	0.4226429884
542	0.4226369033
543	0.4226303289
544	0.4226230401
545	0.4226147076
546	0.4226088761
547	0.4226016719
548	0.422596827
549	0.4225890775
550	0.4225830863
551	0.4225774824
552	0.4225703281
553	0.4225628441
554	0.4225532741
555	0.4225463436
556	0.4225400497
557	0.4225335303
558	0.4225244669
559	0.4225189529
560	0.4225112398
561	0.4225057958
562	0.4224999789
563	0.4224911649
564	0.4224836022
565	0.4224783622
566	0.4224698653
567	0.4224615726
568	0.4224535105
569	0.4224447828
570	0.4224373053
571	0.4224327757
572	0.4224253796
573	0.4224181876
574	0.422412715
575	0.4224045734
576	0.4223958954
577	0.4223883369
578	0.4223796176
579	0.4223704115
580	0.4223627253
581	0.4223551908
582	0.4223492994
583	0.42234302
584	0.4223355741
585	0.422329794
586	0.4223233966
587	0.4223182313
588	0.4223111308
589	0.4223068024
590	0.4222995054
591	0.4222928471
592	0.4222875146
593	0.4222787958
594	0.4222707216
595	0.4222647127
596	0.4222587279
597	0.4222533431
598	0.4222464548
599	0.422239807
600	0.4222328795
601	0.4222265189
602	0.4222201721
603	0.4222140976
604	0.4222083037
605	0.4222017856
606	0.4221961257
607	0.4221911007
608	0.4221853011
609	0.422174478
610	0.422169148
611	0.4221634423
612	0.4221566412
613	0.4221510889
614	0.4221458695
615	0.4221387894
616	0.4221288744
617	0.4221228808
618	0.422115382
619	0.4221057335
620	0.4221005526
621	0.4220913096
622	0.4220859086
623	0.4220783827
624	0.4220707541
625	0.4220616954
626	0.4220578742
627	0.422051125
628	0.4220452143
629	0.4220402948
630	0.4220356311
631	0.4220291054
632	0.4220223942
633	0.4220176547
634	0.4220121959
635	0.4220045875
636	0.4219998406
637	0.4219932715
638	0.4219870525
639	0.4219813335
640	0.4219752038
641	0.4219702084
642	0.4219646964
643	0.4219578291
644	0.4219496443
645	0.4219417247
646	0.4219373217
647	0.4219261104
648	0.4219166745
649	0.4219102175
650	0.4219012523
651	0.4218941278
652	0.4218867474
653	0.4218792869
654	0.4218709897
655	0.4218639901
656	0.4218586339
657	0.4218510377
658	0.42184547
659	0.4218405411
660	0.4218327497
661	0.4218267458
662	0.4218213355
663	0.4218144442
664	0.4218074425
665	0.4218012055
666	0.4217945666
667	0.4217867894
668	0.4217801868
669	0.4217730117
670	0.4217667755
671	0.4217588349
672	0.4217520992
673	0.4217454156
674	0.4217379812
675	0.4217316071
676	0.4217233317
677	0.4217160387
678	0.4217120203
679	0.4217083531
680	0.4217020417
681	0.4216965602
682	0.4216895883
683	0.4216844821
684	0.4216798081
685	0.4216736539
686	0.4216687069
687	0.421661914
688	0.4216567202
689	0.421651015
690	0.4216463661
691	0.4216395106
692	0.4216333318
693	0.4216272202
694	0.4216217602
695	0.421616453
696	0.4216085357
697	0.4216026044
698	0.4215965549
699	0.4215883595
700	0.4215812225
701	0.4215767574
702	0.4215708946
703	0.4215638506
704	0.4215581646
705	0.4215527188
706	0.4215442838
707	0.4215359541
708	0.4215277368
709	0.4215223097
710	0.4215159319
711	0.4215113242
712	0.421503616
713	0.4214973192
714	0.4214920856
715	0.4214871689
716	0.4214813771
717	0.4214714139
718	0.4214641407
719	0.4214562105
720	0.4214505799
721	0.4214454276
722	0.4214408703
723	0.42143649
724	0.4214324437
725	0.4214258657
726	0.4214194987
727	0.4214143378
728	0.4214091541
729	0.4214008451
730	0.4213929438
731	0.4213866772
732	0.4213814011
733	0.4213747217
734	0.4213698072
735	0.4213645864
736	0.4213590776
737	0.4213544571
738	0.4213496952
739	0.4213438392
740	0.4213380067
741	0.4213329619
742	0.421324596
743	0.4213171599
744	0.4213110017
745	0.4213051049
746	0.421299601
747	0.4212923469
748	0.4212867382
749	0.4212776584
750	0.4212722672
751	0.4212679999
752	0.4212609798
753	0.4212556071
754	0.4212508536
755	0.4212450159
756	0.4212392884
757	0.4212349598
758	0.421227605
759	0.421219514
760	0.4212126006
761	0.4212083434
762	0.4212036282
763	0.4211963985
764	0.4211927122
765	0.421186899
766	0.4211810593
767	0.4211753096
768	0.4211678605
769	0.4211632476
770	0.4211576004
771	0.4211530537
772	0.4211467827
773	0.4211415636
774	0.421136759
775	0.4211317553
776	0.4211270907
777	0.4211188052
778	0.4211136754
779	0.4211068871
780	0.4211010273
781	0.4210964355
782	0.421091317
783	0.4210872403
784	0.4210808164
785	0.4210734587
786	0.4210662359
787	0.4210596832
788	0.4210531735
789	0.4210486717
790	0.4210428293
791	0.421036274
792	0.4210312768
793	0.421023231
794	0.4210147009
795	0.4210103195
796	0.4210051802
797	0.4209970548
798	0.4209903497
799	0.4209858037
800	0.420978049
801	0.4209716003
802	0.4209667673
803	0.4209626484
804	0.4209563577
805	0.4209507198
806	0.4209445279
807	0.4209385461
808	0.4209328745
809	0.4209269074
810	0.4209199691
811	0.4209151574
812	0.420908181
813	0.4208998469
814	0.4208958042
815	0.4208914237
816	0.4208855845
817	0.4208805284
818	0.4208751377
819	0.420869427
820	0.4208624493
821	0.420855452
822	0.4208492382
823	0.4208452092
824	0.4208392547
825	0.4208332605
826	0.4208279813
827	0.4208226318
828	0.4208180498
829	0.4208130002
830	0.4208085382
831	0.4208017264
832	0.4207969652
833	0.4207900511
834	0.4207843859
835	0.4207785864
836	0.4207702359
837	0.4207636502
838	0.4207595731
839	0.4207544468
840	0.4207465058
841	0.4207423139
842	0.4207363071
843	0.4207319534
844	0.4207253521
845	0.4207198426
846	0.4207158912
847	0.4207105977
848	0.4207045655
849	0.4206989264
850	0.4206927213
851	0.4206858708
852	0.4206815559
853	0.4206733998
854	0.4206646139
855	0.4206595221
856	0.4206503592
857	0.4206463574
858	0.4206391773
859	0.4206349502
860	0.4206288099
861	0.4206215977
862	0.4206159425
863	0.4206087261
864	0.4206038651
865	0.4205976417
866	0.4205939585
867	0.420587298
868	0.4205827717
869	0.4205753592
870	0.4205711862
871	0.4205638715
872	0.4205568845
873	0.4205501502
874	0.4205436552
875	0.4205372458
876	0.420531973
877	0.4205254418
878	0.4205211815
879	0.4205137015
880	0.4205080725
881	0.4205035894
882	0.4204974403
883	0.4204913325
884	0.4204864136
885	0.4204804402
886	0.4204758555
887	0.4204702002
888	0.4204656633
889	0.4204608556
890	0.420454867
891	0.4204485779
892	0.4204414326
893	0.4204360005
894	0.4204318401
895	0.4204251796
896	0.4204182127
897	0.4204131015
898	0.4204084852
899	0.4204033821
900	0.420398763
901	0.4203948053
902	0.4203883984
903	0.4203841122
904	0.4203789476
905	0.4203733306
906	0.420369245
907	0.4203622972
908	0.4203551703
909	0.420349648
910	0.4203429818
911	0.4203353928
912	0.4203301438
913	0.4203250228
914	0.4203182964
915	0.4203121009
916	0.4203057366
917	0.420300539
918	0.4202936535
919	0.4202888253
920	0.4202844154
921	0.4202786721
922	0.4202732973
923	0.4202674272
924	0.4202635843
925	0.4202583806
926	0.4202521574
927	0.4202482632
928	0.4202411563
929	0.4202353476
930	0.4202287221
931	0.420222103
932	0.42021791
933	0.420210697
934	0.4202048406
935	0.4201974747
936	0.4201924166
937	0.420188058
938	0.4201819778
939	0.4201768944
940	0.4201727499
941	0.4201667991
942	0.4201587689
943	0.4201541394
944	0.4201494452
945	0.4201446688
946	0.4201392241
947	0.420132108
948	0.4201265361
949	0.4201211919
950	0.4201143273
951	0.4201069005
952	0.4201020182
953	0.4200978506
954	0.4200925459
955	0.4200880854
956	0.4200832984
957	0.4200768682
958	0.4200741579
959	0.4200672572
960	0.4200626497
961	0.4200566384
962	0.4200516855
963	0.4200477895
964	0.4200438623
965	0.4200378092
966	0.4200322042
967	0.4200289364
968	0.4200228525
969	0.4200173217
970	0.4200106834
971	0.4200058089
972	0.4199993755
973	0.4199953364
974	0.4199895945
975	0.4199843503
976	0.4199797673
977	0.4199761389
978	0.4199697002
979	0.4199630978
980	0.4199585225
981	0.4199525992
982	0.4199460018
983	0.4199425092
984	0.4199373243
985	0.4199318556
986	0.4199254661
987	0.4199186296
988	0.4199133764
989	0.4199081919
990	0.4199042018
991	0.4198988798
992	0.4198941701
993	0.4198881918
994	0.4198828891
995	0.4198780826
996	0.4198712196
997	0.4198641977
998	0.419856917
999	0.4198511917
